reference,description,cash_price,credit_price,stock,category,battery_brand
M48FD,48AH,449.00,475.04,3,BATTERY,MOURA
M50JD,50AH,469.00,496.20,1,BATTERY,MOURA
M50ED,50AH,489.00,517.36,4,BATTERY,MOURA
M50EX,50AH,419.00,443.30,0,BATTERY,MOURA
M60GD,60AH,519.00,549.10,5,BATTERY,MOURA
M70KD,70AH,639.00,676.06,2,BATTERY,MOURA
MF72LD,72AH,629.00,665.48,0,BATTERY,MOURA
M75LD,75AH,739.00,781.86,2,BATTERY,MOURA
M80RD,80AH,749.00,792.44,0,BATTERY,MOURA
M90TD,90AH,799.00,845.34,2,BATTERY,MOURA
M100HE,100AH,879.00,929.98,3,BATTERY,MOURA
M150BD,150AH,1199.00,1268.54,3,BATTERY,MOURA
Z45D,45AH,339.00,358.66,0,BATTERY,ZETTA
Z50D,50AH,359.00,379.82,2,BATTERY,ZETTA
Z50ED,50AH,369.00,390.40,2,BATTERY,ZETTA
Z60D,60AH,399.00,422.14,9,BATTERY,ZETTA
Z70D,70AH,649.00,686.64,2,BATTERY,ZETTA
Z100E,100AH,819.00,866.50,2,BATTERY,ZETTA
Z150D,150AH,1049.00,1109.84,3,BATTERY,ZETTA
