csv_reference,csv_description,action,existing_reference,existing_description
175/70 R13,SPM 82 T MH01,CREATE,,
175/75 R13,G PUSH GRP TL 203 84T,CREATE,,
175/75 R13,ITARO 84T,CREATE,,
175/75 R13,SPM 203 SPM 84T,MATCH,175/75 R13,SPEEDMAX SPM 203 84T
175/70 R14,SPEEDMAX T MAX 82T,CREATE,,
175/70 R14,C NL 106 CARGO SUNNY,MATCH,175/70 R14C,NL 106 CARGO SUNNY
185/60 R14,SPM PRIME FRD,MATCH,185/60 R14,FRD
185/60 R15,SPEEDMAX HH301 84H SPM SC,CREATE,,
185/65 R15,DRC D668 86T,CREATE,,
185/65 R15,SPM HH301,CREATE,,
185/65 R15,AOSEM,MATCH,185/65 R15,OASEM SPM HH301
195/50 R15,ITR IT 203 82V,CREATE,,
195/70 R15,C FATE AVANTIA CARGA 104/102 R,MATCH,195/70 R15C,FATE AVANTIA CARGA 104/102 R
195/70 R15C,ITR IT 108 104/102 R,CREATE,,
205/55 R15,G PUSH GRP TL XL,CREATE,,
205/55 R15,SPEEDMAX SPM305 95W,CREATE,,
205/65 R15,94V IT 203 ITR,CREATE,,
205/70 R15,VAN SEMPERITE CONTINENTAL ALL TERRAN 96,MATCH,205/70 R15,VAN SEMPERITE CONTINENTAL 96
205/70 R15,C FRD 96 106 104 S CARGO,MATCH,205/70 R15C,FRD 96 CARGO
205/70 R15,C NEXEN,MATCH,205/70 R15C,NEXEN
205/70 R15,C ROADSTONE,MATCH,205/70 R15C,ROADSTONE
225/70 R15,C CARGO FATE AVANTIA 112/110R,MATCH,225/70 R15C,CARGO FATE AVANTIA 112/110R
225/70 R15C,SPM TRAC FORCA 108 SPM,CREATE,,
31X10.50R15,ITR ALMAT XL OLW,CREATE,,
195/75 R16,TRAZANO 8 L 107/105 R H188,CREATE,,
205/75 R16C,SPM 8L 110 108S DRMX V10 CARGA,CREATE,,
225/65 R16C,SPM8 LONAS 112/110S DRMX V10,CREATE,,
225/75 R16C,PGA AT SSP WL SPEEDMAXIII 112 115R,CREATE,,
245/70 R16,SPM 10 CONTMX 107 H,CREATE,,
750/16,DIRECIONAL WESTLAKE CR852 14L 122/118G TT,MATCH,750/16,DIRECIONAL WESTLAKE CR832 14L 122/118G TT
205/55 R17,SPM 305 95Y RXMOTION U11 XL,MATCH,205/55 R17,SPM 95Y RXMOTION U11 XL
225/60 R17,SPM PGA AT SPP AL TERRAN WL XL 103H,MATCH,225/60 R17,SPM PGA AT SPP WL XL 103H
265/65 R17,SPEEDMAX HISCEND H-MHT01,CREATE,,
12.5/80/18,RETRO TRATOR JK 12L TL,CREATE,,
255/55 R18,FRD66 SPP XL 109V,CREATE,,
265/60 R18,SPEEDMAXII SPM ST,CREATE,,
1000/20,DRC RADIAL TRACAO FG PIRELLI,CREATE,,
275/80 R22.5,DIRECIONAL LANDSPIDER A800 18LONAS 149/146M TL,CREATE,,
295/80 R22.5,DIRECIONAL AT 196 NIPTL 18 L,CREATE,,
295/80 R22.5,MISTO STRYKER SD 755 18L 152/148,MATCH,295/80 R22.5,TRACAO STRYKER SD 755 18L 152/148
18.4/30,FMX R1 AT20 152A8 14 LONAS,MATCH,18.4/30,CEAT FARMAX 14 LONAS
RODA,17.5 6 F400,MATCH,RODA,F400
RODA,275 10 FUROS (22.5X750),MATCH,RODA,275  10 FUROS (22.5X750)
RODA,275 8 FUROS (22.5X750),MATCH,RODA,275  8 FUROS (22.5X750)
