csv_reference,csv_description,action,existing_reference,existing_description
80/100-14,SPM-M-10 SPM TT (T),CREATE,,
80/100-14,ST200 VIPAL,CREATE,,
80/100-14,ST300 VIPAL,CREATE,,
80/100-14,TR300 VIPAL,CREATE,,
110/90-17,M/C 60P TR300 VIPAL (BRÓS TRASEIRO),CREATE,,
100/80-17,52S V456F TAIGA PRO-RACE,CREATE,,
110/90-17,PIRELLI MT60 (BRÓS TRASEIRO),CREATE,,
130/70-17,62S V456 SPEEDMAX,CREATE,,
140/70-17,66S V456 SPEEDMAX,CREATE,,
2.75-17,M/C 47P ST300 VIPAL BIZ DIANTEIRA,CREATE,,
60/100-17,33L SPM-M-10 SPM TT (D),CREATE,,
60/100-17,33P V250F TAIGA,CREATE,,
60/100-17,M/C33L STREET ST200 VIPAL,CREATE,,
60/100-17,M/C33L STREET ST300 VIPAL,CREATE,,
60/100-17,M/C33L TRAIL TR300 VIPAL,CREATE,,
90/90-18,CRUISER,CREATE,,
100/100-18,M/C 59M CROSS CR300 VIPAL,CREATE,,
100/100-18,MICHELIN TRACKER,CREATE,,
100/90-18,CYNOR MAX SPM TT SC,CREATE,,
120/90-18,MICHELIN TRACKER,CREATE,,
2.75-18,48P SPEEDMAX M-10 (CG DIANTEIRO),CREATE,,
2.75-18,CRUISE,CREATE,,
2.75-18,42M MAGGION ENDURO II (CG DIANTEIRO),CREATE,,
2.75-18,42P V250 VEE RUBBER (CG DIANTEIRO),CREATE,,
2.75-18,M/C 42P ST300 VIPAL (CG DIANTEIRO),CREATE,,
2.75-18,SPM M10 48P XL TL T (CG DIANTEIRO),CREATE,,
3.00-18,NYLON 6 P.R TRILHA,CREATE,,
90/90-18,51M MAGGION ENDURO II (CG TRASEIRO),CREATE,,
90/90-18,51P V425 TAIGA (T),CREATE,,
90/90-18,57P SPEEDMAX M-10 (CG TRASEIRO),CREATE,,
90/90-18,M/C 51M CROSS CR300 VIPAL,CREATE,,
90/90-18,M/C 57P STREET ST300 VIPAL (CG TRASEIRO),CREATE,,
90/90-18,CIBORG CB015 M/C 57P,CREATE,,
100/90-19,CROSS CR300 VIPAL 59M,CREATE,,
100/90-19,PIRELLI TRACKER,CREATE,,
90/90-19,PIRELLI MT60,CREATE,,
90/90-19,52P V307 TAIGA,CREATE,,
90/90-19,M/C 52P DUAL SPORT LEVORIN,CREATE,,
90/90-19,M/C 52P DURA TRACTION PIRELLI,CREATE,,
90/90-19,M/C 52P TR300 TRAIL VIPAL (BRÓS DIANTEIRO),CREATE,,
90/90-19,MST 52T MAGGION VIP,CREATE,,
80/100-21,M/C 51P CROSS CR300 VIPAL,CREATE,,
90/90-21,M/C 54S CIBORG CB060,CREATE,,
90/90-21,M/C 54S TR300 TRAIL VIPAL,CREATE,,
