reference,description,cash_price,credit_price,stock
80/100-14,SPM-M-10 SPM TT (T),159.00,168.22,38
80/100-14,ST200 VIPAL,189.00,199.96,0
80/100-14,ST300 VIPAL,199.00,210.54,1
80/100-14,TR300 VIPAL,199.00,210.54,1
110/90-17,M/C 60P TR300 VIPAL (BRÓS TRASEIRO),379.00,400.98,0
100/80-17,52S V456F TAIGA PRO-RACE,319.00,337.50,0
110/90-17,PIRELLI MT60 (BRÓS TRASEIRO),399.00,422.14,4
130/70-17,62S V456 SPEEDMAX,239.00,252.86,0
140/70-17,66S V456 SPEEDMAX,299.00,316.34,0
2.75-17,M/C 47P ST300 VIPAL BIZ DIANTEIRA,189.00,199.96,0
60/100-17,33L SPM-M-10 SPM TT (D),129.00,136.48,11
60/100-17,33P V250F TAIGA,139.00,147.06,0
60/100-17,M/C33L STREET ST200 VIPAL,159.00,168.22,0
60/100-17,M/C33L STREET ST300 VIPAL,159.00,168.22,0
60/100-17,M/C33L TRAIL TR300 VIPAL,159.00,168.22,0
90/90-18,CRUISER,149.00,157.64,0
100/100-18,M/C 59M CROSS CR300 VIPAL,329.00,348.08,0
100/100-18,MICHELIN TRACKER,419.00,443.30,1
100/90-18,CYNOR MAX SPM TT SC,249.00,263.44,7
120/90-18,MICHELIN TRACKER,499.00,527.94,0
2.75-18,48P SPEEDMAX M-10 (CG DIANTEIRO),169.00,178.80,9
2.75-18,CRUISE,139.00,147.06,0
2.75-18,42M MAGGION ENDURO II (CG DIANTEIRO),199.00,210.54,0
2.75-18,42P V250 VEE RUBBER (CG DIANTEIRO),149.00,157.64,0
2.75-18,M/C 42P ST300 VIPAL (CG DIANTEIRO),209.00,221.12,0
2.75-18,SPM M10 48P XL TL T (CG DIANTEIRO),169.00,178.80,4
3.00-18,NYLON 6 P.R TRILHA,99.00,104.74,0
90/90-18,51M MAGGION ENDURO II (CG TRASEIRO),229.00,242.28,0
90/90-18,51P V425 TAIGA (T),219.00,231.70,0
90/90-18,57P SPEEDMAX M-10 (CG TRASEIRO),179.00,189.38,23
90/90-18,M/C 51M CROSS CR300 VIPAL,239.00,252.86,0
90/90-18,M/C 57P STREET ST300 VIPAL (CG TRASEIRO),219.00,231.70,0
90/90-18,CIBORG CB015 M/C 57P,150.00,158.70,0
100/90-19,CROSS CR300 VIPAL 59M,249.00,263.44,1
100/90-19,PIRELLI TRACKER,469.00,496.20,0
90/90-19,PIRELLI MT60,319.00,337.50,0
90/90-19,52P V307 TAIGA,229.00,242.28,0
90/90-19,M/C 52P DUAL SPORT LEVORIN,239.00,252.86,0
90/90-19,M/C 52P DURA TRACTION PIRELLI,159.00,168.22,0
90/90-19,M/C 52P TR300 TRAIL VIPAL (BRÓS DIANTEIRO),289.00,305.76,0
90/90-19,MST 52T MAGGION VIP,150.00,158.70,0
80/100-21,M/C 51P CROSS CR300 VIPAL,299.00,316.34,0
90/90-21,M/C 54S CIBORG CB060,219.00,231.70,1
90/90-21,M/C 54S TR300 TRAIL VIPAL,319.00,337.50,0
